yourlist:M201705058A530B6CA0138AFAA6D2B97CE8C2A924D0C2A2K	Entry	Entry name	Protein names	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Organism
Q9W4Q9	Q9W4Q9	INSL7_DROME	Probable insulin-like peptide 7 (dILP7) (Insulin-related peptide 7) [Cleaved into: Probable insulin-like peptide 7 A chain; Probable insulin-like peptide 7 B chain]	Ilp7 CG13317	Ilp7			CG13317	Drosophila melanogaster (Fruit fly)
Q9W497	Q9W497	GR05A_DROME	Gustatory receptor 5a for trehalose (Trehalose receptor)	Gr5a GRLU.7 Tre CG15779	Gr5a	GRLU.7 Tre		CG15779	Drosophila melanogaster (Fruit fly)
Q9W1V6	Q9W1V6	PPO3_DROME	Phenoloxidase 3 (EC 1.14.18.1) (Diphenol oxidase A3) (Diphenoloxidase subunit A3) (Prophenoloxidase 59) (Tyrosinase A3)	PPO3 Dox-3 Dox-A3 proPO59 CG42640	PPO3	Dox-3 Dox-A3 proPO59		CG42640	Drosophila melanogaster (Fruit fly)
Q9W1M8	Q9W1M8	ITA5_DROME	Integrin alpha-PS5 (Position-specific antigen subunit alpha-5)	ItgaPS5 alphaPS5 ItgalphaPS5 CG5372	ItgaPS5	alphaPS5 ItgalphaPS5		CG5372	Drosophila melanogaster (Fruit fly)
Q9W1K5	Q9W1K5	SESN_DROME	Sestrin homolog	Sesn CG11299	Sesn			CG11299	Drosophila melanogaster (Fruit fly)
Q9W130	Q9W130	CP9C1_DROME	Cytochrome P450 9c1 (EC 1.14.-.-) (CYPIXC1)	Cyp9c1 CG3616	Cyp9c1			CG3616	Drosophila melanogaster (Fruit fly)
Q9W0W6	Q9W0W6	NPLP1_DROME	Neuropeptide-like 1 [Cleaved into: MTYamide peptide; IPNamide peptide; NAP peptide; NPLP1-1; NPLP1-2; NPLP1-3; NPLP1-4; NPLP1-5; NPLP1-6]	Nplp1 CG3441	Nplp1			CG3441	Drosophila melanogaster (Fruit fly)
Q9W0V1	Q9W0V1	PDPK1_DROME	3-phosphoinositide-dependent protein kinase 1 (dPDK-1) (EC 2.7.11.1) (Serine/threonine-protein kinase 61C) (dSTPK61)	Pdk1 Pk61C CG1210	Pdk1	Pk61C		CG1210	Drosophila melanogaster (Fruit fly)
Q9W0S9	Q9W0S9	DIP2_DROME	Disco-interacting protein 2	DIP2 CG7020	DIP2			CG7020	Drosophila melanogaster (Fruit fly)
Q9W0K4	Q9W0K4	BAB2_DROME	Protein bric-a-brac 2	bab2 BtbII CG9102	bab2	BtbII		CG9102	Drosophila melanogaster (Fruit fly)
Q9W0G1	Q9W0G1	PTP61_DROME	Tyrosine-protein phosphatase non-receptor type 61F (EC 3.1.3.48) (dPTP61F)	Ptp61F CG9181	Ptp61F			CG9181	Drosophila melanogaster (Fruit fly)
Q9VZZ4	Q9VZZ4	PXDN_DROME	Peroxidasin (EC 1.11.1.7)	Pxn CG12002	Pxn			CG12002	Drosophila melanogaster (Fruit fly)
Q9VZ09	Q9VZ09	SISA_DROME	Protein sisterless A	sisA CG1641	sisA			CG1641	Drosophila melanogaster (Fruit fly)
Q9VYX7	Q9VYX7	PGPSA_DROME	Peptidoglycan-recognition protein SA (EC 3.4.17.13) (Protein semmelweis)	PGRP-SA seml CG11709	PGRP-SA	seml		CG11709	Drosophila melanogaster (Fruit fly)
Q9VYS4	Q9VYS4	GLD2B_DROME	Poly(A) RNA polymerase gld-2 homolog B (EC 2.7.7.19) (Protein wispy)	wisp CG15737	wisp			CG15737	Drosophila melanogaster (Fruit fly)
Q9VYG2	Q9VYG2	BAP60_DROME	Brahma-associated protein of 60 kDa (BRM-associated protein 60)	Bap60 CG4303	Bap60			CG4303	Drosophila melanogaster (Fruit fly)
Q9VXY2	Q9VXY2	MADD_DROME	MAP kinase-activating death domain protein (Rab3 guanyl-nucleotide exchange factor)	Rab3-GEF CG5627	Rab3-GEF			CG5627	Drosophila melanogaster (Fruit fly)
Q9VXN9	Q9VXN9	PGPLE_DROME	Peptidoglycan-recognition protein LE	PGRP-LE CG8995	PGRP-LE			CG8995	Drosophila melanogaster (Fruit fly)
Q9VXG8	Q9VXG8	ATR_DROME	Serine/threonine-protein kinase ATR (EC 2.7.11.1) (Ataxia telangiectasia and Rad3-related protein homolog) (ATR homolog) (dATR) (Meiotic protein 41)	mei-41 CG4252	mei-41			CG4252	Drosophila melanogaster (Fruit fly)
Q9VXD9	Q9VXD9	MTH1_DROME	Probable G-protein coupled receptor Mth-like 1 (Protein methuselah-like 1)	mthl1 CG4521	mthl1			CG4521	Drosophila melanogaster (Fruit fly)
Q9VXB3	Q9VXB3	SAP30_DROME	Histone deacetylase complex subunit SAP30 homolog (SIN3-associated polypeptide 30)	Sap30 CG4756	Sap30			CG4756	Drosophila melanogaster (Fruit fly)
Q9VVX0	Q9VVX0	GEMI2_DROME	Protein Gemin2	Gem2 CG10419	Gem2			CG10419	Drosophila melanogaster (Fruit fly)
Q9VVT2	Q9VVT2	INDY1_DROME	Protein I'm not dead yet (INDY transporter protein) (drIndy)	Indy CG3979	Indy			CG3979	Drosophila melanogaster (Fruit fly)
Q9VVR4	Q9VVR4	BGBP2_DROME	Gram-negative bacteria-binding protein 2	GNBP2 CG4144	GNBP2			CG4144	Drosophila melanogaster (Fruit fly)
Q9VVN4	Q9VVN4	ATRIP_DROME	ATR-interacting protein mus304 (Mutagen-sensitive protein 304)	mus304 CG7347	mus304			CG7347	Drosophila melanogaster (Fruit fly)
Q9VVF3	Q9VVF3	OR74A_DROME	Odorant receptor 74a	Or74a CG13726	Or74a			CG13726	Drosophila melanogaster (Fruit fly)
Q9VVE5	Q9VVE5	MSIR6_DROME	RNA-binding protein Musashi homolog Rbp6	Rbp6 RRM6 CG32169	Rbp6	RRM6		CG32169	Drosophila melanogaster (Fruit fly)
Q9VUV9	Q9VUV9	U520_DROME	Putative U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (Protein lethal (3) 72Ab)	l(3)72Ab CG5931	l(3)72Ab			CG5931	Drosophila melanogaster (Fruit fly)
Q9VUL1	Q9VUL1	PYRG_DROME	CTP synthase (EC 6.3.4.2) (CTP synthetase) (UTP--ammonia ligase)	CTPsyn CG45070	CTPsyn			CG45070	Drosophila melanogaster (Fruit fly)
Q9VTJ4	Q9VTJ4	FUCO_DROME	Putative alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucoside fucohydrolase)	Fuca CG6128	Fuca			CG6128	Drosophila melanogaster (Fruit fly)
Q9VT65	Q9VT65	CANB_DROME	Calpain-B (EC 3.4.22.-) (Calcium-activated neutral proteinase B) (CANP B) [Cleaved into: Calpain-B catalytic subunit 1; Calpain-B catalytic subunit 2]	CalpB CG8107	CalpB			CG8107	Drosophila melanogaster (Fruit fly)
Q9VT52	Q9VT52	INSL3_DROME	Probable insulin-like peptide 3 (dILP3) (Insulin-related peptide 3) [Cleaved into: Probable insulin-like peptide 3 A chain; Probable insulin-like peptide 3 B chain]	Ilp3 CG14167	Ilp3			CG14167	Drosophila melanogaster (Fruit fly)
Q9VT51	Q9VT51	INSL2_DROME	Probable insulin-like peptide 2 (dILP2) (Insulin-related peptide 2) [Cleaved into: Probable insulin-like peptide 2 A chain; Probable insulin-like peptide 2 B chain]	Ilp2 IRP CG8167	Ilp2	IRP		CG8167	Drosophila melanogaster (Fruit fly)
Q9VT50	Q9VT50	INSL1_DROME	Probable insulin-like peptide 1 (dILP1) (Insulin-related peptide 1) [Cleaved into: Probable insulin-like peptide 1 A chain; Probable insulin-like peptide 1 B chain]	Ilp1 CG14173	Ilp1			CG14173	Drosophila melanogaster (Fruit fly)
Q9VSR3	Q9VSR3	ORB2_DROME	Translational regulator orb2	orb2 CG43782	orb2			CG43782	Drosophila melanogaster (Fruit fly)
Q9VSL7	Q9VSL7	FOI_DROME	Zinc transporter foi (Protein fear-of-intimacy) (Protein kastchen)	foi CG6817	foi			CG6817	Drosophila melanogaster (Fruit fly)
Q9VS97	Q9VS97	PGPSD_DROME	Peptidoglycan-recognition protein SD	PGRP-SD CG7496	PGRP-SD			CG7496	Drosophila melanogaster (Fruit fly)
Q9VRX6	Q9VRX6	INX4_DROME	Innexin inx4 (Innexin-4) (Protein zero population growth)	zpg inx4 CG10125	zpg	inx4		CG10125	Drosophila melanogaster (Fruit fly)
Q9VRM7	Q9VRM7	CP307_DROME	Cytochrome P450 307a1 (EC 1.14.-.-) (CYPCCCVIIA1) (Protein spook)	spo Cyp307a1 CG10594	spo	Cyp307a1		CG10594	Drosophila melanogaster (Fruit fly)
Q9VRI9	Q9VRI9	CP6T1_DROME	Probable cytochrome P450 6t1 (EC 1.14.-.-) (CYPVIT1)	Cyp6t1 CG1644	Cyp6t1			CG1644	Drosophila melanogaster (Fruit fly)
Q9VQU9	Q9VQU9	BOWEL_DROME	Protein bowel (Brother of odd with entrails limited)	bowl CG10021	bowl			CG10021	Drosophila melanogaster (Fruit fly)
Q9VQS7	Q9VQS7	SOB_DROME	Protein sister of odd and bowel	sob CG3242	sob			CG3242	Drosophila melanogaster (Fruit fly)
Q9VQI9	Q9VQI9	AFF4_DROME	AF4/FMR2 family member 4 (Protein lilliputian) (Suppressor of Raf at 2A) (Suppressor of sina 2-1)	lilli l(2)00632 SS2-1 Su(Raf)2A CG8817	lilli	l(2)00632 SS2-1 Su(Raf)2A		CG8817	Drosophila melanogaster (Fruit fly)
Q9VQH2	Q9VQH2	DUOX_DROME	Dual oxidase (EC 1.11.1.-) (EC 1.6.3.1)	Duox CG3131	Duox			CG3131	Drosophila melanogaster (Fruit fly)
Q9VQD2	Q9VQD2	CP391_DROME	Probable cytochrome P450 309a1 (EC 1.14.-.-) (CYPCCCIXA1)	Cyp309a1 CG9964	Cyp309a1			CG9964	Drosophila melanogaster (Fruit fly)
Q9VQ62	Q9VQ62	NPC2_DROME	Protein NPC2 homolog (Niemann Pick type C2 protein homolog)	Npc2a NPC2 CG7291	Npc2a	NPC2		CG7291	Drosophila melanogaster (Fruit fly)
Q9VPH2	Q9VPH2	PRI2_DROME	DNA primase large subunit (EC 2.7.7.-) (Suppressor of fat facets 240)	DNApol-alpha60 DNAprim S(faf)240 CG5553	DNApol-alpha60	DNAprim S(faf)240		CG5553	Drosophila melanogaster (Fruit fly)
Q9VNM1	Q9VNM1	NPFR_DROME	Neuropeptide F receptor (DmNPFR1)	NPFR NPFR1 CG1147	NPFR	NPFR1		CG1147	Drosophila melanogaster (Fruit fly)
Q9VNJ5	Q9VNJ5	DISP_DROME	Protein dispatched	disp CG2019	disp			CG2019	Drosophila melanogaster (Fruit fly)
Q9VNA5	Q9VNA5	PSB4_DROME	Proteasome subunit beta type-4 (EC 3.4.25.1) (Proteasome subunit beta type-7)	Prosbeta7 Prosb4 Prosbeta4 CG12000	Prosbeta7	Prosb4 Prosbeta4		CG12000	Drosophila melanogaster (Fruit fly)
Q9VN14	Q9VN14	CONT_DROME	Contactin	Cont CG1084	Cont			CG1084	Drosophila melanogaster (Fruit fly)
Q9VMS9	Q9VMS9	C4AC1_DROME	Probable cytochrome P450 4ac1 (EC 1.14.-.-) (CYPIVAC1)	Cyp4ac1 CG14032	Cyp4ac1			CG14032	Drosophila melanogaster (Fruit fly)
Q9VMS8	Q9VMS8	C4AC2_DROME	Probable cytochrome P450 4ac2 (EC 1.14.-.-) (CYPIVAC2)	Cyp4ac2 CG17970	Cyp4ac2			CG17970	Drosophila melanogaster (Fruit fly)
Q9VMJ7	Q9VMJ7	KDM5_DROME	Lysine-specific demethylase lid (EC 1.14.11.-) (Histone demethylase lid) (Jumonji/ARID domain-containing protein lid) (Protein little imaginal disks) (Retinoblastoma-binding protein 2 homolog)	lid CG9088	lid			CG9088	Drosophila melanogaster (Fruit fly)
Q9VL18	Q9VL18	EF1D_DROME	Probable elongation factor 1-delta (EF-1-delta)	eEF1delta CG4912	eEF1delta			CG4912	Drosophila melanogaster (Fruit fly)
Q9VKV5	Q9VKV5	CD2B2_DROME	CD2 antigen cytoplasmic tail-binding protein 2 homolog (Protein hole-in-one)	holn1 CG5198	holn1			CG5198	Drosophila melanogaster (Fruit fly)
Q9VKU7	Q9VKU7	GCP4_DROME	Gamma-tubulin complex component 4 homolog (Gamma-ring complex protein 75 kDa) (d75p) (dGrip75)	Grip75 75p CG6176	Grip75	75p		CG6176	Drosophila melanogaster (Fruit fly)
Q9VKN7	Q9VKN7	AURKB_DROME	Aurora kinase B (EC 2.7.11.1) (IPL1/Aurora-like protein kinase) (Serine/threonine-protein kinase Ial) (Serine/threonine-protein kinase aurora-B)	ial CG6620	ial			CG6620	Drosophila melanogaster (Fruit fly)
Q9VKJ9	Q9VKJ9	C2D1_DROME	Coiled-coil and C2 domain-containing protein 1-like (Lethal giant disks protein)	l(2)gd1 lgd CG4713	l(2)gd1	lgd		CG4713	Drosophila melanogaster (Fruit fly)
Q9VKD7	Q9VKD7	ZUC_DROME	Mitochondrial cardiolipin hydrolase (EC 3.1.4.-) (Mitochondrial phospholipase) (MitoPLD) (Protein zucchini)	zuc CG12314	zuc			CG12314	Drosophila melanogaster (Fruit fly)
Q9VJS8	Q9VJS8	ELBOW_DROME	Zinc finger protein Elbow	elB CG4220	elB			CG4220	Drosophila melanogaster (Fruit fly)
Q9VIW3	Q9VIW3	RAGP1_DROME	Ran GTPase-activating protein (RanGAP) (Protein segregation distorter)	RanGAP Sd CG9999	RanGAP	Sd		CG9999	Drosophila melanogaster (Fruit fly)
Q9VIP8	Q9VIP8	VLS_DROME	Protein valois (MEP50 homolog)	vls vsl CG10728	vls	vsl		CG10728	Drosophila melanogaster (Fruit fly)
Q9VHH9	Q9VHH9	JHD1_DROME	JmjC domain-containing histone demethylation protein 1 (EC 1.14.11.27) (Lysine (K)-specific demethylase 2) ([Histone-H3]-lysine-36 demethylase 1)	Kdm2 Jhd1 CG11033	Kdm2	Jhd1		CG11033	Drosophila melanogaster (Fruit fly)
Q9VGZ0	Q9VGZ0	C12E1_DROME	Probable cytochrome P450 12e1, mitochondrial (EC 1.14.-.-) (CYPXIIE1)	Cyp12e1 CG14680	Cyp12e1			CG14680	Drosophila melanogaster (Fruit fly)
Q9VGW1	Q9VGW1	CAD86_DROME	Cadherin-86C	Cad86C CG4509	Cad86C			CG4509	Drosophila melanogaster (Fruit fly)
Q9VGH1	Q9VGH1	CP315_DROME	Cytochrome P450 315a1, mitochondrial (EC 1.14.99.-) (CYPCCCXVA1) (Protein shadow)	sad Cyp315a1 CG14728	sad	Cyp315a1		CG14728	Drosophila melanogaster (Fruit fly)
Q9VG17	Q9VG17	CP304_DROME	Probable cytochrome P450 304a1 (EC 1.14.-.-) (CYPCCCIVA1)	Cyp304a1 CG7241	Cyp304a1			CG7241	Drosophila melanogaster (Fruit fly)
Q9VFX1	Q9VFX1	WNT8_DROME	Wnt inhibitor of Dorsal protein (Protein Wnt-8) (dWnt-8)	wntD Wnt8 CG8458	wntD	Wnt8		CG8458	Drosophila melanogaster (Fruit fly)
Q9VFS2	Q9VFS2	NINAB_DROME	Carotenoid isomerooxygenase (EC 1.13.11.65) (Beta-carotene 15,15'-monooxygenase and retinoid isomerase) (Beta-carotene dioxygenase and retinoid isomerase) (Neither inactivation nor afterpotential mutant B)	ninaB beta-diox CG9347	ninaB	beta-diox		CG9347	Drosophila melanogaster (Fruit fly)
Q9VFP2	Q9VFP2	RDX_DROME	Protein roadkill (Hh-induced MATH and BTB domain-containing protein)	rdx HIB CG12537	rdx	HIB		CG12537	Drosophila melanogaster (Fruit fly)
Q9VFB7	Q9VFB7	TPC10_DROME	Trafficking protein particle complex subunit 10 (Shal Interactor of Di-Leucine Motif) (Trafficking protein particle complex subunit TMEM1) (Transport protein particle subunit TMEM1) (TRAPP subunit TMEM1)	SIDL CG6623	SIDL			CG6623	Drosophila melanogaster (Fruit fly)
Q9VEZ5	Q9VEZ5	IKKB_DROME	Inhibitor of nuclear factor kappa-B kinase subunit beta (DmIKK-beta) (EC 2.7.11.10) (Cactus kinase IKK) (IKK-like protein) (Immune response deficient protein 5) (Lipopolysaccharide-activated kinase) (DLAK)	ird5 DIK CG4201	ird5	DIK		CG4201	Drosophila melanogaster (Fruit fly)
Q9VDS5	Q9VDS5	RG92B_DROME	Rho GTPase-activating protein 92B	RhoGAP92B CG4755	RhoGAP92B			CG4755	Drosophila melanogaster (Fruit fly)
Q9VDH4	Q9VDH4	TOTB_DROME	Protein Turandot B	TotB CG5609	TotB			CG5609	Drosophila melanogaster (Fruit fly)
Q9VC57	Q9VC57	ATLAS_DROME	Atlastin (EC 3.6.5.-)	atl CG6668	atl			CG6668	Drosophila melanogaster (Fruit fly)
Q9VC27	Q9VC27	NICA_DROME	Nicastrin	nct NCSTN CG7012	nct	NCSTN		CG7012	Drosophila melanogaster (Fruit fly)
Q9VB62	Q9VB62	DPOA2_DROME	DNA polymerase alpha subunit B (DNA polymerase alpha 73 kDa subunit)	DNApol-alpha73 CG5923	DNApol-alpha73			CG5923	Drosophila melanogaster (Fruit fly)
Q9VB08	Q9VB08	RING1_DROME	E3 ubiquitin-protein ligase RING1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RING1) (Sex comb extra protein) (dRING protein) (dRING1)	Sce CG5595	Sce			CG5595	Drosophila melanogaster (Fruit fly)
Q9VA70	Q9VA70	NCASE_DROME	Neutral ceramidase (N-CDase) (NCDase) (EC 3.5.1.23) (Neutral N-acylsphingosine amidohydrolase) (Neutral acylsphingosine deacylase) (Slug-a-bed protein)	CDase slab CG1471	CDase	slab		CG1471	Drosophila melanogaster (Fruit fly)
Q9V9W8	Q9V9W8	PYGO_DROME	Protein pygopus (Protein gammy legs)	pygo gam CG11518	pygo	gam		CG11518	Drosophila melanogaster (Fruit fly)
Q9V9L1	Q9V9L1	CP6W1_DROME	Probable cytochrome P450 6w1 (EC 1.14.-.-) (CYPVIW1)	Cyp6w1 CG8345	Cyp6w1			CG8345	Drosophila melanogaster (Fruit fly)
Q9V9J3	Q9V9J3	SRC42_DROME	Tyrosine-protein kinase Src42A (EC 2.7.10.2) (Tyrosine-protein kinase Src41) (Dsrc41)	Src42A Src41 TK5 CG44128	Src42A	Src41 TK5		CG44128	Drosophila melanogaster (Fruit fly)
Q9V998	Q9V998	UBL5_DROME	Ubiquitin-like protein 5	ubl l(2)k03203 CG3450	ubl	l(2)k03203		CG3450	Drosophila melanogaster (Fruit fly)
Q9V8F5	Q9V8F5	IM23_DROME	Immune-induced peptide 23 (DIM-23)	IM23 CG15066	IM23			CG15066	Drosophila melanogaster (Fruit fly)
Q9V877	Q9V877	SUB_DROME	Kinesin-like protein subito (Protein double or nothing)	sub Dub CG12298	sub	Dub		CG12298	Drosophila melanogaster (Fruit fly)
Q9V853	Q9V853	SMUF1_DROME	E3 ubiquitin-protein ligase Smurf1 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase Smurf1) (Lethal with a checkpoint kinase protein) (SMAD ubiquitination regulatory factor 1 homolog) (DSmurf)	lack Smurf Smurf1 CG4943	lack	Smurf Smurf1		CG4943	Drosophila melanogaster (Fruit fly)
Q9V7P1	Q9V7P1	UTP18_DROME	U3 small nucleolar RNA-associated protein 18 homolog (Protein wicked) (WD repeat protein l(2)k07824)	wcd l(2)k07824 CG7989	wcd	l(2)k07824		CG7989	Drosophila melanogaster (Fruit fly)
Q9V7N5	Q9V7N5	VATC_DROME	V-type proton ATPase subunit C (V-ATPase subunit C) (Vacuolar proton pump subunit C)	Vha44 l(2)06072 CG8048	Vha44	l(2)06072		CG8048	Drosophila melanogaster (Fruit fly)
Q9V7G5	Q9V7G5	C4AA1_DROME	Probable cytochrome P450 4aa1 (EC 1.14.-.-) (CYPIVAA1)	Cyp4aa1 CG8302	Cyp4aa1			CG8302	Drosophila melanogaster (Fruit fly)
Q9V7A4	Q9V7A4	ITA4_DROME	Integrin alpha-PS4 (Position-specific antigen subunit alpha-4)	ItgaPS4 alphaPS4 ItgalphaPS4 CG16827	ItgaPS4	alphaPS4 ItgalphaPS4		CG16827	Drosophila melanogaster (Fruit fly)
Q9V770	Q9V770	C6A17_DROME	Probable cytochrome P450 6a17 (EC 1.14.-.-) (CYPVIA17)	Cyp6a17 CG10241	Cyp6a17			CG10241	Drosophila melanogaster (Fruit fly)
Q9V751	Q9V751	ATTB_DROME	Attacin-B	AttB AttB1 CG18372	AttB	AttB1		CG18372	Drosophila melanogaster (Fruit fly)
Q9V6X7	Q9V6X7	OFUT1_DROME	GDP-fucose protein O-fucosyltransferase 1 (EC 2.4.1.221) (Neurotic protein) (Peptide-O-fucosyltransferase 1) (O-FucT-1)	O-fut1 nti CG12366	O-fut1	nti		CG12366	Drosophila melanogaster (Fruit fly)
Q9V676	Q9V676	CP6T3_DROME	Probable cytochrome P450 6t3 (EC 1.14.-.-) (CYPVIT3)	Cyp6t3 CG8457	Cyp6t3			CG8457	Drosophila melanogaster (Fruit fly)
Q9V5Z7	Q9V5Z7	AQP_DROME	Aquaporin	Drip CG9023	Drip			CG9023	Drosophila melanogaster (Fruit fly)
Q9V5L3	Q9V5L3	C49A1_DROME	Probable cytochrome P450 49a1 (EC 1.14.-.-) (CYPXLIXA1)	Cyp49a1 CG18377	Cyp49a1			CG18377	Drosophila melanogaster (Fruit fly)
Q9V5C6	Q9V5C6	PSA3_DROME	Proteasome subunit alpha type-3 (EC 3.4.25.1) (20S proteasome subunit alpha-7)	Prosalpha7 CG1519	Prosalpha7			CG1519	Drosophila melanogaster (Fruit fly)
Q9V579	Q9V579	PREL_DROME	Protein preli-like	prel CG8806	prel			CG8806	Drosophila melanogaster (Fruit fly)
Q9V559	Q9V559	CP4P3_DROME	Probable cytochrome P450 4p3 (EC 1.14.-.-) (CYPIVP3)	Cyp4p3 CG10843	Cyp4p3			CG10843	Drosophila melanogaster (Fruit fly)
Q9V557	Q9V557	CP4P2_DROME	Probable cytochrome P450 4p2 (EC 1.14.-.-) (CYPIVP2)	Cyp4p2 CG1944	Cyp4p2			CG1944	Drosophila melanogaster (Fruit fly)
Q9V521	Q9V521	PPO2_DROME	Phenoloxidase 2 (PO A3) (EC 1.14.18.1) (Phenoloxidase subunit A3) (Processed phenoloxidase A3) (Pro-phenoloxidase A3)	PPO2 proPo-A3 proPO45 CG8193	PPO2	proPo-A3 proPO45		CG8193	Drosophila melanogaster (Fruit fly)
Q9V4X2	Q9V4X2	PGSC2_DROME	Peptidoglycan-recognition protein SC2 (EC 3.5.1.28)	PGRP-SC2 CG14745	PGRP-SC2			CG14745	Drosophila melanogaster (Fruit fly)
Q9V4U9	Q9V4U9	C6A13_DROME	Probable cytochrome P450 6a13 (EC 1.14.-.-) (CYPVIA13)	Cyp6a13 CG2397	Cyp6a13			CG2397	Drosophila melanogaster (Fruit fly)
Q9V4Q8	Q9V4Q8	RU2A_DROME	Probable U2 small nuclear ribonucleoprotein A' (U2 snRNP A')	U2A CG1406	U2A			CG1406	Drosophila melanogaster (Fruit fly)
Q9V4P1	Q9V4P1	ANLN_DROME	Anillin (Actin-binding protein 8) (ABP8) (Protein scraps)	scra ani CG2092	scra	ani		CG2092	Drosophila melanogaster (Fruit fly)
Q9V4M2	Q9V4M2	WECH_DROME	Protein wech (Protein dappled)	wech dpld CG42396	wech	dpld		CG42396	Drosophila melanogaster (Fruit fly)
Q9V496	Q9V496	APLP_DROME	Apolipophorins (Retinoid- and fatty acid-binding glycoprotein) [Cleaved into: Apolipophorin-2 (ApoL2) (Apolipophorin II); Apolipophorin-1 (ApoL1) (Apolipophorin I)]	Rfabg RfaBp CG11064	Rfabg	RfaBp		CG11064	Drosophila melanogaster (Fruit fly)
Q9V3W6	Q9V3W6	INX7_DROME	Innexin inx7 (Innexin-7) (Gap junction protein prp7) (Pas-related protein 7)	Inx7 prp7 CG2977	Inx7	prp7		CG2977	Drosophila melanogaster (Fruit fly)
Q9V3R8	Q9V3R8	UBIA1_DROME	UbiA prenyltransferase domain-containing protein 1 homolog (EC 2.5.1.-) (Protein heixuedian)	heix CG5876	heix			CG5876	Drosophila melanogaster (Fruit fly)
Q9V3Q6	Q9V3Q6	M3K7_DROME	Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (TGF-beta-activated kinase 1) (dTAK1)	Tak1 CG18492	Tak1			CG18492	Drosophila melanogaster (Fruit fly)
Q9V3P0	Q9V3P0	PRDX1_DROME	Peroxiredoxin 1 (EC 1.11.1.15) (Cytosolic thioredoxin peroxidase) (DPx-4783) (DmTPx-1) (Thioredoxin peroxidase)	Jafrac1 TPX-1 CG1633	Jafrac1	TPX-1		CG1633	Drosophila melanogaster (Fruit fly)
Q9V3L1	Q9V3L1	NDST_DROME	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase (EC 2.8.2.8) (Glucosaminyl N-deacetylase/N-sulfotransferase) (Sulfateless) [Includes: Heparan sulfate N-deacetylase (EC 3.-.-.-); Heparan sulfate N-sulfotransferase (EC 2.8.2.-)]	sfl CG8339	sfl			CG8339	Drosophila melanogaster (Fruit fly)
Q9V3J1	Q9V3J1	VATH_DROME	V-type proton ATPase subunit H (V-ATPase subunit H) (Vacuolar proton pump subunit H) (Vacuolar proton pump subunit SFD)	VhaSFD CG17332	VhaSFD			CG17332	Drosophila melanogaster (Fruit fly)
Q9V3I5	Q9V3I5	JIL1_DROME	Chromosomal serine/threonine-protein kinase JIL-1 (EC 2.7.11.1)	JIL-1 CG6297	JIL-1			CG6297	Drosophila melanogaster (Fruit fly)
Q9V3D5	Q9V3D5	DYRK2_DROME	Dual specificity tyrosine-phosphorylation-regulated kinase 2 (EC 2.7.12.1) (Protein smell impaired at 35A) (dDyrk2)	Dyrk2 smi35A CG4551	Dyrk2	smi35A		CG4551	Drosophila melanogaster (Fruit fly)
Q9V3A4	Q9V3A4	CSUP_DROME	Protein catecholamines up	Catsup CG10449	Catsup			CG10449	Drosophila melanogaster (Fruit fly)
Q9V1F8	Q9V1F8	PFPI_PYRAB	Intracellular protease 1 (EC 3.2.-.-) (Intracellular protease I)	pfpI PYRAB04690 PAB0311	pfpI		PYRAB04690	PAB0311	Pyrococcus abyssi (strain GE5 / Orsay)
Q9V035	Q9V035	AOR_PYRAB	Tungsten-containing aldehyde ferredoxin oxidoreductase (EC 1.2.7.5)	aor PYRAB09630 PAB0647	aor		PYRAB09630	PAB0647	Pyrococcus abyssi (strain GE5 / Orsay)
Q9UWR6	Q9UWR6	GFPS_AERPX	Geranylfarnesyl diphosphate synthase (GFPS) (EC 2.5.1.81) (Farnesylgeranyl diphosphate synthase) (FGPP synthase)	fgs	fgs				Aeropyrum pernix
Q9UWF8	Q9UWF8	CPKA_PYRAB	Carbamate kinase (EC 2.7.2.2) (Carbamate kinase-like carbamoylphosphate synthase)	cpkA cpa PYRAB08820 PAB0593	cpkA	cpa	PYRAB08820	PAB0593	Pyrococcus abyssi (strain GE5 / Orsay)
Q9UW86	Q9UW86	PP1_NEUCR	Serine/threonine-protein phosphatase PP1 (EC 3.1.3.16) (Phosphoprotein phosphatase 1)	pph-3 ppp-1 NCU00043	pph-3	ppp-1		NCU00043	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
Q9UW23	Q9UW23	MATA1_CANAL	Mating-type-like protein A1 (MTLa1 protein)	MTLA1 CAALFM_C501740CA CaO19.3201	MTLA1		CAALFM_C501740CA	CaO19.3201	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
Q9UW22	Q9UW22	MTAL2_CANAL	Mating-type-like protein ALPHA2 (MTLalpha2 protein)	MTLALPHA2 C5_01785W_B CaO19.10708	MTLALPHA2		C5_01785W_B	CaO19.10708	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
